"Time","CO2","Humidity","PM10","PM2.5","Temperature","TVOC"
2024-01-26 00:00:00,686 ppm,81.5 %H,10.3 μg/m³,9.65 μg/m³,23.6 °C,1.08 ppm
2024-01-25 22:00:00,732 ppm,81.7 %H,9.83 μg/m³,9.28 μg/m³,23.6 °C,1.11 ppm
2024-01-25 20:00:00,782 ppm,82.1 %H,9.35 μg/m³,9 μg/m³,23.4 °C,1.17 ppm
2024-01-25 18:00:00,905 ppm,82.3 %H,9.82 μg/m³,9.06 μg/m³,23.2 °C,1.39 ppm
2024-01-25 16:00:00,829 ppm,82.1 %H,10.4 μg/m³,9.82 μg/m³,23.2 °C,1.15 ppm
2024-01-25 14:00:00,718 ppm,81.9 %H,12.6 μg/m³,11.6 μg/m³,23.1 °C,0.956 ppm
2024-01-25 12:00:00,659 ppm,81.9 %H,15.9 μg/m³,14.8 μg/m³,23.2 °C,1.01 ppm
2024-01-25 10:00:00,567 ppm,81.9 %H,17.2 μg/m³,16.5 μg/m³,23.1 °C,0.987 ppm
2024-01-25 08:00:00,537 ppm,81.6 %H,14.8 μg/m³,13.5 μg/m³,23.4 °C,0.970 ppm
2024-01-25 06:00:00,553 ppm,81 %H,12.9 μg/m³,12.1 μg/m³,23.8 °C,0.923 ppm
2024-01-25 04:00:00,567 ppm,81 %H,12.2 μg/m³,11.8 μg/m³,23.7 °C,0.892 ppm
2024-01-25 02:00:00,586 ppm,80.9 %H,12.5 μg/m³,12.2 μg/m³,23.7 °C,0.912 ppm
2024-01-25 00:00:00,611 ppm,80.6 %H,13.4 μg/m³,12.9 μg/m³,23.7 °C,0.854 ppm
2024-01-24 22:00:00,629 ppm,80.6 %H,14.4 μg/m³,13.9 μg/m³,23.6 °C,0.889 ppm
2024-01-24 20:00:00,653 ppm,80.8 %H,15.2 μg/m³,14.4 μg/m³,23.4 °C,0.842 ppm
2024-01-24 18:00:00,719 ppm,81.6 %H,15.7 μg/m³,15.1 μg/m³,23.2 °C,0.912 ppm
2024-01-24 16:00:00,736 ppm,81.6 %H,16.7 μg/m³,15.9 μg/m³,23.2 °C,0.923 ppm
2024-01-24 14:00:00,696 ppm,81.2 %H,18.4 μg/m³,17.7 μg/m³,23.3 °C,1.03 ppm
2024-01-24 12:00:00,642 ppm,81.4 %H,19.7 μg/m³,18.8 μg/m³,23.2 °C,1.12 ppm
2024-01-24 10:00:00,554 ppm,81.2 %H,17.4 μg/m³,16.7 μg/m³,23.1 °C,1.06 ppm
2024-01-24 08:00:00,518 ppm,80.9 %H,15.4 μg/m³,14.5 μg/m³,23.4 °C,1.20 ppm
2024-01-24 06:00:00,530 ppm,80.5 %H,15 μg/m³,14.8 μg/m³,23.8 °C,1.18 ppm
2024-01-24 04:00:00,538 ppm,80.5 %H,15.7 μg/m³,14.9 μg/m³,23.8 °C,1.20 ppm
2024-01-24 02:00:00,551 ppm,80.5 %H,16.1 μg/m³,15.3 μg/m³,23.8 °C,1.16 ppm
2024-01-24 00:00:00,560 ppm,80.5 %H,16 μg/m³,15.1 μg/m³,23.7 °C,1.11 ppm
2024-01-23 22:00:00,569 ppm,80.9 %H,16.1 μg/m³,15.4 μg/m³,23.6 °C,1.08 ppm
2024-01-23 20:00:00,566 ppm,81.1 %H,15.4 μg/m³,14.7 μg/m³,23.5 °C,0.959 ppm
2024-01-23 18:00:00,577 ppm,81.3 %H,15.4 μg/m³,15 μg/m³,23.3 °C,0.834 ppm
2024-01-23 16:00:00,584 ppm,81.4 %H,14.1 μg/m³,13.7 μg/m³,23.0 °C,0.795 ppm
2024-01-23 14:00:00,588 ppm,81.0 %H,12.8 μg/m³,12.5 μg/m³,23.2 °C,0.812 ppm
2024-01-23 12:00:00,626 ppm,81.3 %H,12.2 μg/m³,11.7 μg/m³,23.2 °C,0.882 ppm
2024-01-23 10:00:00,568 ppm,81.3 %H,13.3 μg/m³,12.7 μg/m³,23.2 °C,0.972 ppm
2024-01-23 08:00:00,526 ppm,80.7 %H,12.9 μg/m³,12.6 μg/m³,23.3 °C,1.07 ppm
2024-01-23 06:00:00,542 ppm,80.5 %H,13 μg/m³,12.7 μg/m³,24.0 °C,0.979 ppm
2024-01-23 04:00:00,562 ppm,80.5 %H,15.1 μg/m³,14.3 μg/m³,23.9 °C,0.990 ppm
2024-01-23 02:00:00,583 ppm,80.5 %H,15.4 μg/m³,14.6 μg/m³,23.9 °C,1.06 ppm
2024-01-23 00:00:00,607 ppm,80.5 %H,17.1 μg/m³,16.3 μg/m³,23.8 °C,1.03 ppm
