Time,CO2,Humidity,PM10,PM2.5,Temperature,TVOC
2024-02-15 03:00:00,509 ppm,79.5 %H,5.75 μg/m³,5.75 μg/m³,23.9 °C,0.803 ppm
2024-02-15 04:00:00,504 ppm,79.5 %H,5.89 μg/m³,5.89 μg/m³,24 °C,0.858 ppm
2024-02-15 05:00:00,503 ppm,79.5 %H,6.13 μg/m³,5.75 μg/m³,24 °C,0.858 ppm
2024-02-15 06:00:00,495 ppm,79.5 %H,6.22 μg/m³,5.44 μg/m³,24.0 °C,0.829 ppm
2024-02-15 07:00:00,491 ppm,79.5 %H,6.13 μg/m³,6 μg/m³,24.1 °C,0.824 ppm
2024-02-15 08:00:00,486 ppm,78.8 %H,5.67 μg/m³,5.56 μg/m³,23.5 °C,0.934 ppm
2024-02-15 09:00:00,483 ppm,79.9 %H,6.44 μg/m³,6.11 μg/m³,23.3 °C,0.773 ppm
2024-02-15 10:00:00,648 ppm,79.6 %H,10.6 μg/m³,10.4 μg/m³,23.1 °C,0.919 ppm
2024-02-15 11:00:00,901 ppm,80.1 %H,11.7 μg/m³,10.9 μg/m³,23.2 °C,1.11 ppm
2024-02-15 12:00:00,1070 ppm,80.1 %H,11.5 μg/m³,11.4 μg/m³,23.2 °C,1.32 ppm
2024-02-15 13:00:00,1131 ppm,80.5 %H,12 μg/m³,11.3 μg/m³,23.2 °C,1.50 ppm
2024-02-15 14:00:00,1023 ppm,80.5 %H,10.6 μg/m³,9.86 μg/m³,23.2 °C,1.34 ppm
2024-02-15 15:00:00,1016 ppm,79.9 %H,11.1 μg/m³,10.2 μg/m³,23.1 °C,1.20 ppm
2024-02-15 16:00:00,1017 ppm,80.2 %H,10.2 μg/m³,10 μg/m³,23.1 °C,1.14 ppm
2024-02-15 17:00:00,1039 ppm,80.3 %H,11.3 μg/m³,11 μg/m³,23.0 °C,1.19 ppm
2024-02-15 18:00:00,960 ppm,80.7 %H,13.9 μg/m³,13.4 μg/m³,22.9 °C,1.08 ppm
2024-02-15 19:00:00,858 ppm,81 %H,14.9 μg/m³,14.3 μg/m³,22.9 °C,0.935 ppm
2024-02-15 20:00:00,786 ppm,80.6 %H,17.1 μg/m³,16.3 μg/m³,23.1 °C,0.796 ppm
2024-02-15 21:00:00,754 ppm,80.1 %H,17.1 μg/m³,16.5 μg/m³,23.4 °C,0.854 ppm
2024-02-15 22:00:00,733 ppm,80 %H,18.6 μg/m³,17.7 μg/m³,23.6 °C,0.851 ppm
2024-02-15 23:00:00,709 ppm,80 %H,18.6 μg/m³,17.7 μg/m³,23.7 °C,0.876 ppm
2024-02-16 00:00:00,689 ppm,80 %H,19.5 μg/m³,19 μg/m³,23.7 °C,0.866 ppm
2024-02-16 01:00:00,664 ppm,80 %H,18.7 μg/m³,18.2 μg/m³,23.8 °C,0.861 ppm
2024-02-16 02:00:00,645 ppm,80 %H,20.3 μg/m³,20.1 μg/m³,23.8 °C,0.835 ppm
2024-02-16 03:00:00,627 ppm,80 %H,21.6 μg/m³,20.8 μg/m³,23.9 °C,0.829 ppm
2024-02-16 04:00:00,611 ppm,80 %H,21.4 μg/m³,20.5 μg/m³,23.9 °C,0.814 ppm
2024-02-16 05:00:00,597 ppm,80 %H,21.6 μg/m³,20.7 μg/m³,23.9 °C,0.822 ppm
2024-02-16 06:00:00,583 ppm,80 %H,21.9 μg/m³,20.7 μg/m³,24.0 °C,0.808 ppm
2024-02-16 07:00:00,568 ppm,80 %H,22.4 μg/m³,21.6 μg/m³,24 °C,0.801 ppm
2024-02-16 08:00:00,573 ppm,80 %H,20.5 μg/m³,19.7 μg/m³,24 °C,0.835 ppm
2024-02-16 11:00:00,886 ppm,78.4 %H,17 μg/m³,16.4 μg/m³,23.7 °C,0.301 ppm
2024-02-16 12:00:00,855 ppm,78.9 %H,16.3 μg/m³,15.8 μg/m³,23.2 °C,0.365 ppm
2024-02-16 13:00:00,851 ppm,79.2 %H,15.7 μg/m³,15 μg/m³,23.2 °C,0.357 ppm
2024-02-16 14:00:00,836 ppm,79.3 %H,14 μg/m³,13.3 μg/m³,23.2 °C,0.352 ppm
2024-02-16 15:00:00,872 ppm,79.5 %H,17.5 μg/m³,16.8 μg/m³,23.1 °C,0.465 ppm
2024-02-16 16:00:00,961 ppm,79.1 %H,17.7 μg/m³,17.5 μg/m³,23.0 °C,0.515 ppm
2024-02-16 17:00:00,1082 ppm,79.5 %H,19.5 μg/m³,18 μg/m³,23 °C,0.702 ppm
2024-02-16 18:00:00,1144 ppm,79.6 %H,16.5 μg/m³,16 μg/m³,23 °C,0.730 ppm
2024-02-16 19:00:00,1051 ppm,80.6 %H,17.5 μg/m³,16.2 μg/m³,23.0 °C,0.595 ppm
